title,genre,director,country,year,url
15 минут славы,Криминальная драмабоевик,Джон Херцфелд,США,2001,https://ru.wikipedia.org/wiki/15_%D0%BC%D0%B8%D0%BD%D1%83%D1%82_%D1%81%D0%BB%D0%B0%D0%B2%D1%8B
15 августа (фильм),комедия,Патрик Алессандрен,Франция,2001,https://ru.wikipedia.org/wiki/15_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
14+: Продолжение,мелодрама,Андрей Зайцев,Россия,2023,https://ru.wikipedia.org/wiki/14%2B:_%D0%9F%D1%80%D0%BE%D0%B4%D0%BE%D0%BB%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5
14+,мелодрама,Андрей Зайцев,Россия,2015,https://ru.wikipedia.org/wiki/14%2B
14 клинков,боевиктриллер,Дэниел Ли,Гонконг Китай,2010,https://ru.wikipedia.org/wiki/14_%D0%BA%D0%BB%D0%B8%D0%BD%D0%BA%D0%BE%D0%B2
14 июля (фильм),комедия,Рене Клер,Франция,1933,https://ru.wikipedia.org/wiki/14_%D0%B8%D1%8E%D0%BB%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
14 амазонок,приключенческий фильмдрамавоенный фильм,Чэн ГанДун Шаоюн,Гонконг,1972,https://ru.wikipedia.org/wiki/14_%D0%B0%D0%BC%D0%B0%D0%B7%D0%BE%D0%BD%D0%BE%D0%BA
13-я жертва,ужасы,Мэл Хаус[англ.],США,2008,https://ru.wikipedia.org/wiki/13-%D1%8F_%D0%B6%D0%B5%D1%80%D1%82%D0%B2%D0%B0
13-й участок,"криминальный фильмдрама, экранизация",Мартин Фрич,Чехословакия,1946,https://ru.wikipedia.org/wiki/13-%D0%B9_%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BE%D0%BA
13-й район: Ультиматум,боевик,Патрик Алессандрен (фр. Patrick Alessandrin),Франция,2009,https://ru.wikipedia.org/wiki/13-%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD:_%D0%A3%D0%BB%D1%8C%D1%82%D0%B8%D0%BC%D0%B0%D1%82%D1%83%D0%BC
13-й район: Кирпичные особняки,боевик,Камиль Деламарр,Франция Канада США,2014,https://ru.wikipedia.org/wiki/13-%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD:_%D0%9A%D0%B8%D1%80%D0%BF%D0%B8%D1%87%D0%BD%D1%8B%D0%B5_%D0%BE%D1%81%D0%BE%D0%B1%D0%BD%D1%8F%D0%BA%D0%B8
13-й район,боевик,Пьер Морель,Франция,2004,https://ru.wikipedia.org/wiki/13-%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD
13-й знак,Ужасы,Джонти ЭктонАдам Мэйсон,Великобритания,2000,https://ru.wikipedia.org/wiki/13-%D0%B9_%D0%B7%D0%BD%D0%B0%D0%BA
13-й апостол,фантастический фильм,Сурен Бабаян,СССР,1988,https://ru.wikipedia.org/wiki/13-%D0%B9_%D0%B0%D0%BF%D0%BE%D1%81%D1%82%D0%BE%D0%BB
13 часов: Тайные солдаты Бенгази,военныйдраматриллер,Майкл Бэй,США,2016,https://ru.wikipedia.org/wiki/13_%D1%87%D0%B0%D1%81%D0%BE%D0%B2:_%D0%A2%D0%B0%D0%B9%D0%BD%D1%8B%D0%B5_%D1%81%D0%BE%D0%BB%D0%B4%D0%B0%D1%82%D1%8B_%D0%91%D0%B5%D0%BD%D0%B3%D0%B0%D0%B7%D0%B8
13 убийц,боевик,Такаси Миикэ,Япония,2010,https://ru.wikipedia.org/wiki/13_%D1%83%D0%B1%D0%B8%D0%B9%D1%86
13 стульев,Комедия,Эмерих Йозеф Войтек,Нацистская Германия,1938,https://ru.wikipedia.org/wiki/13_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2
13 призраков,фильм ужасов,Уильям Касл,США,1960,https://ru.wikipedia.org/wiki/13_%D0%BF%D1%80%D0%B8%D0%B7%D1%80%D0%B0%D0%BA%D0%BE%D0%B2
13 изгнаний дьявола,фильм ужасов,Хакобо Мартинес,Испания,2022,https://ru.wikipedia.org/wiki/13_%D0%B8%D0%B7%D0%B3%D0%BD%D0%B0%D0%BD%D0%B8%D0%B9_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0
13 друзей хунты,документальный,,Россия,2014,https://ru.wikipedia.org/wiki/13_%D0%B4%D1%80%D1%83%D0%B7%D0%B5%D0%B9_%D1%85%D1%83%D0%BD%D1%82%D1%8B
13 дней во Франции,документальный фильмспортивный фильм,Клод ЛелушЖиль ГиФрансуа Рейшенбах,Франция,1968,https://ru.wikipedia.org/wiki/13_%D0%B4%D0%BD%D0%B5%D0%B9_%D0%B2%D0%BE_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D0%B8
13 грехов,"триллер, фильм ужасов",Даниэль Штамм,США,2014,https://ru.wikipedia.org/wiki/13_%D0%B3%D1%80%D0%B5%D1%85%D0%BE%D0%B2
12:08 к востоку от Бухареста,комедия,Корнелиу Порумбою,Румыния,2006,https://ru.wikipedia.org/wiki/12:08_%D0%BA_%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA%D1%83_%D0%BE%D1%82_%D0%91%D1%83%D1%85%D0%B0%D1%80%D0%B5%D1%81%D1%82%D0%B0
"12 стульев (фильм, 1976)",комедия мюзикл мелодрама,Марк Захаров,СССР,,"https://ru.wikipedia.org/wiki/12_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1976)"
"12 стульев (фильм, 1971)",комедия,Леонид Гайдай,СССР,21 июня 1971,"https://ru.wikipedia.org/wiki/12_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1971)"
12 стульев (телеспектакль),телеспектакль,Александр Белинский,СССР,1966,https://ru.wikipedia.org/wiki/12_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2_(%D1%82%D0%B5%D0%BB%D0%B5%D1%81%D0%BF%D0%B5%D0%BA%D1%82%D0%B0%D0%BA%D0%BB%D1%8C)
